City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78,kasongo,93,CD,1571130000,57.0,-4.427,26.6662,305.924,0.503
79,alta floresta,25,BR,1571248800,30.0,-9.8716,-56.084,311.2,1.18
80,beira,97,ES,1571238000,93.0,43.1993,-8.3567,289.0,2.21
81,arraial do cabo,29,BR,1571162400,82.0,-22.9663,-42.0245,296.984,2.831
82,bonthe,57,SL,1571140800,70.0,7.5273,-12.502,302.43,3.722
83,cape town,5,ZA,1571140800,41.0,-33.929,18.4174,296.14,4.68
84,maniwaki,7,CA,1571162400,55.0,46.381,-75.9842,283.284,4.328
85,koson,0,UZ,1571302800,13.0,39.0389,65.5875,300.539,6.177
86,weymouth,33,US,1571248800,52.0,42.2212,-70.9392,289.6,4.603
87,haines junction,100,CA,1571518800,83.0,60.7527,-137.5101,271.509,3.959
88,cayenne,0,GF,1571324400,54.0,4.9371,-52.3259,305.19,4.107
89,vila,0,IT,1571324400,55.0,45.1829,8.402,292.79,1.616
90,orleans,10,BR,1571410800,82.0,-28.3573,-49.2873,297.72,1.56
91,orichi,93,RU,1571130000,68.0,58.4013,49.0565,278.954,3.197
92,coihaique,100,CL,1571508000,38.0,-45.5753,-72.0662,287.962,4.036
93,leningradskiy,100,RU,1571302800,88.0,69.3833,178.4167,275.669,6.995
94,los llanos de aridane,23,ES,1571508000,75.0,28.6585,-17.9183,295.352,1.097
95,yulara,26,AU,1571119200,8.0,-25.2411,130.9869,311.63,12.727
96,avarua,84,CK,1571119200,77.0,-21.2078,-159.775,297.8,5.765
97,port elizabeth,100,US,1571238000,63.0,39.3134,-74.9811,293.5,6.482
98,marsa matruh,0,EG,1571151600,76.0,31.3525,27.2453,297.6,5.506
99,san quintin,71,PH,1571119200,61.0,17.5427,120.5203,304.26,2.939
100,pacific grove,79,US,1571216400,65.0,36.6174,-121.9156,288.516,2.928
101,petilia policastro,88,IT,1571227200,54.0,39.1094,16.7887,298.213,4.106
102,saint-augustin,100,CA,1571248800,60.0,45.6256,-73.9796,287.6,7.674
103,lompoc,0,US,1571162400,35.0,34.6392,-120.458,295.384,3.458
104,acajutla,6,SV,1571529600,72.0,13.5905,-89.8329,301.826,2.018
105,luderitz,0,NA,1571443200,67.0,-26.6481,15.1594,289.353,5.355
106,nanortalik,100,GL,1571540400,83.0,60.1432,-45.2372,277.928,10.159
107,ciudad dario,90,NI,1571335200,61.0,12.732,-86.1244,302.625,1.434
108,rwamagana,100,RW,1571302800,57.0,-1.9513,30.4349,298.739,1.441
109,lazaro cardenas,0,MX,1571432400,23.0,28.3905,-105.6235,304.365,5.423
110,torbay,100,CA,1571421600,100.0,47.6577,-52.727,284.403,5.898
111,cabo san lucas,32,MX,1571248800,74.0,22.8938,-109.9112,301.2,2.875
112,gat,0,SN,1571410800,28.0,14.6934,-16.5351,311.47,2.901
113,yeppoon,0,AU,1571119200,40.0,-23.1349,150.7437,305.51,5.137
114,krasnyy kholm,100,RU,1571292000,96.0,58.0565,37.1147,282.254,4.671
115,mana,11,NG,1571238000,28.0,13.0278,5.2728,309.3,1.244
116,san cristobal,7,HN,1571421600,48.0,14.6765,-86.9185,304.003,0.538
117,puerto ayora,7,EC,1571432400,68.0,-0.7394,-90.3518,296.295,8.911
118,vagur,100,FO,1571227200,93.0,61.4732,-6.8119,283.233,12.764
119,mount isa,52,AU,1571119200,11.0,-20.729,139.4932,312.39,4.324
120,hanumangarh,0,IN,1571302800,9.0,29.576,74.3342,310.749,0.765
121,pirogovskiy,100,RU,1571313600,81.0,55.9781,37.7336,286.489,3.929
122,narsaq,100,GL,1571540400,88.0,60.9127,-46.0453,276.198,6.161
123,codrington,0,AU,1571281200,28.0,-28.9484,153.2428,307.555,5.338
124,beloha,0,MG,1571486400,11.0,-25.1739,45.0615,310.041,1.6
